1,0.339121775,6,,,aver,var,pearsonr,p-value,spearmanr,p-value
330,0.590626774,7,,,,,,,,
331,0.593450745,2,,,,,,,,
332,0.5585446,6,,,,,,,,
333,0.621982984,7,,,,,,,,
334,0.464053928,8,,,,,,,,
335,0.770122688,7,,,,,,,,
336,0.471606457,7,,,,,,,,
337,0.488191371,6,,,,,,,,
338,0.801663745,1,,,,,,,,
339,0.580941895,7,,,,,,,,
340,0.732827393,8,,,,,,,,
341,0.479032692,7,,,,,,,,
342,0.668929048,2,,,,,,,,
343,0.537999401,1,,,,,,,,
344,0.600365122,2,,,,,,,,
345,0.478276857,3,,,,,,,,
346,0.4436615,5,,,,,,,,
347,0.658312318,7,,,,,,,,
348,0.654995667,6,,,,,,,,
349,0.506752874,6,,,,,,,,
350,0.656459687,4,,,,,,,,
351,0.667587935,4,,,,,,,,
352,0.532534341,4,,,,,,,,
353,0.628692305,5,,,,,,,,
354,0.616820877,5,,,,,,,,
355,0.614491409,7,,,,,,,,
356,0.417592101,6,,,,,,,,
357,0.422391478,8,,,,,,,,
358,0.728724478,6,,,,,,,,
359,0.7876754,6,,,,,,,,
360,0.573984909,7,,,,,,,,
361,0.550555616,4,,,,,,,,
362,0.768376166,2,,,,,,,,
363,0.422917005,5,,,,,,,,
364,0.643245577,8,,,,,,,,
365,0.668926491,7,,,,,,,,
366,0.855624411,4,,,,,,,,
367,0.759604008,5,,,,,,,,
368,0.459852269,4,,,,,,,,
369,0.559518198,5,,,,,,,,
370,0.578752249,3,,,,,,,,
371,0.984042251,6,,,,,,,,
372,0.571649475,7,,,,,,,,
373,0.710633605,8,,,,,,,,
374,0.686059567,2,,,,,,,,
375,0.658461825,4,,,,,,,,
376,0.512043059,4,,,,,,,,
377,0.620887248,3,,,,,,,,
378,0.652986794,6,,,,,,,,
379,0.807741633,2,,,,,,,,
380,0.569762658,8,,,,,,,,
381,0.59681297,3,,,,,,,,
382,0.591184405,2,,,,,,,,
383,0.619290633,5,,,,,,,,
384,0.528533797,6,,,,,,,,
385,0.379659025,5,,,,,,,,
386,0.631523436,7,,,,,,,,
387,0.432213298,7,,,,,,,,
388,0.593954413,5,,,,,,,,
389,0.567445321,6,,,,,,,,
390,0.53986493,7,,,,,,,,
391,0.652317009,8,,,,,,,,
392,0.334483696,7,,,,,,,,
393,0.504190775,8,,,,,,,,
394,0.541505209,8,,,,,,,,
395,0.442568246,9,,,,,,,,
396,0.718962967,7,,,,,,,,
